Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
7,7,2015-11-10,26-331,CHO,@,MIN,W (+9),1,35:08,6,11,.545,3,5,.600,2,2,1.000,0,6,6,3,0,2,4,3,17,11.8,-5
8,8,2015-11-11,26-332,CHO,,NYK,W (+2),1,36:21,10,18,.556,2,5,.400,2,5,.400,1,4,5,1,1,0,2,0,24,15.8,+1
9,9,2015-11-13,26-334,CHO,@,CHI,L (-5),1,34:42,10,17,.588,5,6,.833,3,3,1.000,3,5,8,2,2,0,2,1,28,24.7,+6
10,10,2015-11-15,26-336,CHO,,POR,W (+12),1,38:53,11,19,.579,5,10,.500,6,7,.857,0,5,5,6,0,0,2,2,33,26.6,+5
11,11,2015-11-17,26-338,CHO,@,NYK,L (-8),1,35:11,1,9,.111,1,4,.250,1,2,.500,0,6,6,0,0,0,1,2,4,-2.3,-19
12,12,2015-11-18,26-339,CHO,,BRK,W (+5),1,40:36,7,12,.583,3,6,.500,7,7,1.000,0,1,1,8,1,2,4,1,24,22.3,+4
13,13,2015-11-20,26-341,CHO,,PHI,W (+25),1,31:50,4,9,.444,3,4,.750,3,3,1.000,1,3,4,3,0,0,4,2,14,8.2,+16
14,14,2015-11-23,26-344,CHO,,SAC,W (+5),1,43:18,5,16,.313,1,7,.143,7,7,1.000,1,9,10,8,2,1,5,1,18,15.1,+5
15,15,2015-11-25,26-346,CHO,,WAS,W (+14),1,33:43,5,15,.333,3,7,.429,3,3,1.000,1,6,7,11,2,0,2,1,16,17.3,+16
16,16,2015-11-27,26-348,CHO,,CLE,L (-5),1,38:40,6,13,.462,1,7,.143,4,5,.800,2,6,8,4,1,0,3,2,17,13.1,-7
17,17,2015-11-29,26-350,CHO,,MIL,W (+5),1,33:39,4,13,.308,3,8,.375,4,5,.800,2,3,5,5,2,1,9,1,15,6.2,-8
18,18,2015-12-02,26-353,CHO,,GSW,L (-17),1,30:12,6,15,.400,1,6,.167,4,5,.800,2,6,8,3,3,2,2,2,17,15.4,-16
19,19,2015-12-05,26-356,CHO,@,CHI,W (+6),1,35:19,8,16,.500,4,6,.667,4,6,.667,0,11,11,5,0,1,3,1,24,19.3,+10
20,20,2015-12-07,26-358,CHO,,DET,W (+20),1,33:42,4,15,.267,2,7,.286,3,3,1.000,1,6,7,8,2,0,4,0,13,10.2,+16
21,21,2015-12-09,26-360,CHO,,MIA,W (+18),1,27:53,3,9,.333,1,4,.250,3,4,.750,0,11,11,11,1,1,3,1,10,13.8,+22
22,22,2015-12-11,26-362,CHO,@,MEM,W (+24),1,30:16,7,11,.636,5,8,.625,1,1,1.000,1,3,4,2,0,0,0,1,20,17.7,+15
23,23,2015-12-12,26-363,CHO,,BOS,L (-5),1,37:52,9,21,.429,2,10,.200,1,1,1.000,0,8,8,2,0,0,4,2,21,8.9,-11
24,24,2015-12-16,27-002,CHO,@,ORL,L (-15),1,19:45,2,7,.286,2,4,.500,0,0,,2,0,2,2,1,0,3,4,6,1.1,-11
25,,2015-12-17,27-003,CHO,,TOR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,25,2015-12-19,27-005,CHO,@,WAS,L (-8),1,31:41,5,12,.417,1,7,.143,3,4,.750,0,6,6,8,3,1,4,1,14,13.9,-7
27,26,2015-12-21,27-007,CHO,@,HOU,L (-7),1,33:40,3,11,.273,0,3,.000,3,4,.750,0,5,5,3,1,0,2,2,9,3.9,-12
28,27,2015-12-23,27-009,CHO,,BOS,L (-13),1,39:10,6,15,.400,3,8,.375,2,4,.500,0,6,6,7,0,0,1,3,17,12.6,-13
29,28,2015-12-26,27-012,CHO,,MEM,W (+6),1,40:04,7,14,.500,2,7,.286,4,4,1.000,2,9,11,8,1,2,4,0,20,21.1,+16
30,29,2015-12-28,27-014,CHO,,LAL,W (+10),1,36:07,7,17,.412,0,6,.000,1,2,.500,1,4,5,11,1,0,2,1,15,13.7,+7
31,30,2015-12-30,27-016,CHO,,LAC,L (-5),1,42:11,6,11,.545,2,4,.500,5,5,1.000,2,6,8,6,1,0,3,3,19,17.9,-2
32,31,2016-01-01,27-018,CHO,@,TOR,L (-10),1,41:39,4,9,.444,3,4,.750,3,4,.750,0,4,4,7,0,1,5,2,14,9.9,-6
