Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,TPM,TPA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1993-11-05,21-343,LAL,,PHO,W (+8),1,31:00,9,13,.692,2,5,.400,3,4,.750,0,3,3,8,0,0,3,4,23,19.0
2,2,1993-11-06,21-344,LAL,@,SEA,L (-28),1,36:00,4,13,.308,2,4,.500,9,10,.900,2,1,3,5,3,0,1,0,19,18.3
3,3,1993-11-09,21-347,LAL,,POR,L (-7),1,37:00,4,12,.333,1,5,.200,0,1,.000,0,5,5,10,3,0,3,4,9,8.7
4,4,1993-11-10,21-348,LAL,@,SAC,L (-11),1,43:00,5,14,.357,0,1,.000,4,4,1.000,0,5,5,9,1,0,1,2,14,13.2
5,5,1993-11-12,21-350,LAL,,DEN,L (-29),1,40:00,5,16,.313,0,0,,2,2,1.000,0,1,1,4,1,0,0,0,12,6.9
6,6,1993-11-14,21-352,LAL,,CLE,W (+7),1,41:00,3,11,.273,0,4,.000,3,4,.750,0,6,6,6,1,0,1,1,9,7.7
7,7,1993-11-16,21-354,LAL,,LAC,W (+2),1,44:00,6,18,.333,1,5,.200,0,0,,5,3,8,9,1,0,0,1,13,14.1
8,8,1993-11-18,21-356,LAL,@,GSW,L (-27),1,34:00,5,12,.417,1,3,.333,0,0,,1,2,3,4,2,0,4,3,11,5.5
9,9,1993-11-19,21-357,LAL,,CHI,L (-2),1,38:00,3,13,.231,1,1,1.000,2,2,1.000,2,4,6,9,1,0,3,2,9,7.2
10,10,1993-11-21,21-359,LAL,@,NJN,L (-3),1,33:00,5,11,.455,1,3,.333,0,0,,2,2,4,1,2,0,0,2,11,9.2
11,11,1993-11-23,21-361,LAL,@,ATL,L (-9),1,41:00,10,20,.500,2,7,.286,0,2,.000,1,0,1,5,0,0,4,0,22,11.4
12,12,1993-11-24,21-362,LAL,@,CHH,L (-17),1,23:00,5,8,.625,3,4,.750,0,0,,0,1,1,5,1,0,1,3,13,12.0
13,13,1993-11-26,21-364,LAL,@,IND,W (+2),1,26:00,4,8,.500,0,3,.000,0,0,,0,1,1,4,0,0,0,4,8,5.5
14,14,1993-11-27,22-000,LAL,@,MIN,W (+4),1,27:00,4,8,.500,0,3,.000,0,0,,0,3,3,5,1,0,2,1,8,7.0
15,15,1993-12-01,22-004,LAL,,DAL,W (+33),1,32:00,5,9,.556,3,5,.600,0,0,,0,0,0,11,1,0,3,1,13,14.0
16,16,1993-12-04,22-007,LAL,@,LAC,W (+7),1,21:00,2,6,.333,0,4,.000,0,0,,0,6,6,7,0,0,0,1,4,6.9
17,17,1993-12-05,22-008,LAL,,MIN,L (-2),1,25:00,2,7,.286,0,2,.000,2,4,.500,1,2,3,7,0,0,0,3,6,6.1
18,18,1993-12-07,22-010,LAL,,NYK,L (-14),1,41:00,3,9,.333,0,1,.000,3,5,.600,0,3,3,5,0,0,1,3,9,5.3
19,19,1993-12-10,22-013,LAL,@,POR,L (-18),1,35:00,2,15,.133,0,4,.000,2,2,1.000,3,2,5,3,1,0,2,3,6,-1.1
20,20,1993-12-12,22-015,LAL,,GSW,L (-3),1,41:00,6,14,.429,0,3,.000,4,4,1.000,0,1,1,6,0,0,2,2,16,10.3
21,21,1993-12-14,22-017,LAL,@,DET,W (+6),1,34:00,6,13,.462,2,4,.500,2,2,1.000,0,5,5,3,2,0,0,3,16,13.7
22,22,1993-12-16,22-019,LAL,@,NYK,L (-23),1,37:00,5,16,.313,1,5,.200,2,2,1.000,1,2,3,7,0,0,1,2,13,8.2
23,23,1993-12-17,22-020,LAL,@,PHI,L (-11),1,30:00,3,13,.231,0,3,.000,1,1,1.000,1,1,2,8,1,0,2,1,7,4.3
24,24,1993-12-19,22-022,LAL,@,CLE,L (-30),1,40:00,6,12,.500,1,2,.500,3,4,.750,1,1,2,8,2,0,1,1,16,16.8
25,25,1993-12-21,22-024,LAL,@,ORL,W (+7),1,27:00,2,6,.333,1,3,.333,0,0,,1,1,2,5,2,0,0,1,5,7.7
26,26,1993-12-23,22-026,LAL,@,MIA,L (-17),1,27:00,6,12,.500,0,0,,4,5,.800,0,1,1,4,2,0,0,1,16,14.3
27,27,1993-12-26,22-029,LAL,,HOU,L (-25),1,25:00,4,7,.571,2,4,.500,0,0,,0,2,2,3,1,0,1,3,10,8.2
28,28,1993-12-29,22-032,LAL,,SEA,L (-7),1,18:00,1,7,.143,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-1.5
29,29,1994-01-02,22-036,LAL,@,SAS,L (-2),1,19:00,0,4,.000,0,0,,0,0,,1,0,1,1,0,0,2,2,0,-4.2
30,30,1994-01-04,22-038,LAL,@,DEN,W (+1),1,23:00,6,10,.600,2,3,.667,5,6,.833,0,0,0,1,0,0,1,2,19,12.9
31,31,1994-01-05,22-039,LAL,@,SAC,L (-8),1,26:00,3,7,.429,1,2,.500,0,0,,0,2,2,3,1,0,2,1,7,4.6
32,32,1994-01-07,22-041,LAL,,LAC,W (+3),1,22:00,4,11,.364,1,3,.333,4,4,1.000,0,2,2,4,0,0,1,0,13,9.3
33,33,1994-01-09,22-043,LAL,,SAS,L (-6),1,27:00,6,13,.462,3,6,.500,4,6,.667,0,1,1,0,0,0,2,1,19,9.4
34,34,1994-01-11,22-045,LAL,,GSW,L (-5),1,37:00,9,15,.600,5,7,.714,5,6,.833,0,0,0,7,1,1,3,4,28,22.7
35,35,1994-01-14,22-048,LAL,,CHH,L (-8),1,34:00,12,21,.571,5,8,.625,0,0,,1,1,2,6,2,0,3,1,29,22.9
36,36,1994-01-18,22-052,LAL,@,SEA,L (-15),1,33:00,8,19,.421,3,8,.375,3,5,.600,0,1,1,2,0,1,3,1,22,10.1
37,37,1994-01-20,22-054,LAL,,PHO,W (+5),1,32:00,4,10,.400,3,6,.500,0,2,.000,0,3,3,6,1,0,2,1,11,8.5
38,38,1994-01-21,22-055,LAL,@,POR,L (-18),1,42:00,6,15,.400,1,6,.167,0,0,,0,3,3,10,1,1,3,3,13,10.3
39,39,1994-01-26,22-060,LAL,,IND,W (+4),1,33:00,6,15,.400,3,6,.500,1,2,.500,0,2,2,5,0,0,2,2,16,8.8
40,40,1994-01-28,22-062,LAL,,DET,W (+8),1,41:00,7,14,.500,2,7,.286,0,0,,0,5,5,8,3,0,2,2,16,16.3
41,41,1994-02-01,22-066,LAL,@,SAS,L (-15),1,36:00,9,18,.500,2,7,.286,4,4,1.000,1,4,5,4,1,0,1,2,24,18.9
42,42,1994-02-03,22-068,LAL,@,HOU,L (-11),1,34:00,3,18,.167,0,6,.000,4,4,1.000,1,1,2,2,0,0,0,5,10,-1.0
43,43,1994-02-04,22-069,LAL,@,DAL,W (+8),1,42:00,5,18,.278,1,4,.250,1,1,1.000,0,4,4,4,2,0,2,3,12,4.2
44,44,1994-02-06,22-071,LAL,,UTA,W (+17),1,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,4,0,-2.6
45,45,1994-02-08,22-073,LAL,,PHO,W (+3),1,20:00,2,7,.286,1,3,.333,3,4,.750,0,1,1,4,0,0,1,0,8,5.6
46,46,1994-02-09,22-074,LAL,@,UTA,W (+7),1,37:00,2,10,.200,0,4,.000,6,6,1.000,0,4,4,6,1,0,3,2,10,6.4
47,47,1994-02-10,22-075,LAL,,SAC,L (-19),1,44:00,6,19,.316,0,6,.000,5,6,.833,2,1,3,5,1,0,4,2,17,7.1
48,48,1994-02-15,22-080,LAL,,LAC,L (-11),1,35:00,3,7,.429,0,0,,0,2,.000,1,4,5,8,2,0,4,0,6,7.0
49,49,1994-02-18,22-083,LAL,@,PHO,L (-17),1,37:00,7,14,.500,0,2,.000,1,2,.500,0,2,2,4,0,0,4,3,15,5.8
50,50,1994-02-20,22-085,LAL,,PHI,W (+12),1,32:00,8,20,.400,0,8,.000,3,3,1.000,0,7,7,6,4,0,1,0,19,17.5
51,51,1994-02-24,22-089,LAL,@,SAC,L (-12),1,40:00,4,16,.250,0,3,.000,2,2,1.000,0,1,1,5,1,0,3,0,10,2.2
52,52,1994-02-25,22-090,LAL,,SAS,L (-16),1,42:00,7,20,.350,2,5,.400,2,2,1.000,0,0,0,7,2,0,0,3,18,12.5
53,53,1994-02-27,22-092,LAL,,BOS,W (+3),1,35:00,4,12,.333,1,2,.500,0,0,,1,3,4,12,1,0,1,2,9,11.4
54,54,1994-03-02,22-095,LAL,@,CHI,W (+8),1,41:00,7,18,.389,5,7,.714,3,4,.750,1,3,4,4,0,0,1,1,22,14.8
55,55,1994-03-04,22-097,LAL,@,BOS,L (-10),1,38:00,9,18,.500,6,9,.667,2,3,.667,2,4,6,5,2,0,3,2,26,20.9
56,56,1994-03-05,22-098,LAL,@,WSB,L (-6),1,42:00,7,18,.389,2,7,.286,3,4,.750,0,3,3,7,3,0,3,3,19,13.4
57,57,1994-03-07,22-100,LAL,@,MIL,W (+22),1,34:00,5,11,.455,1,5,.200,5,5,1.000,1,4,5,5,2,0,0,1,16,17.3
58,58,1994-03-10,22-103,LAL,,DAL,W (+5),1,34:00,6,11,.545,4,5,.800,1,2,.500,0,3,3,7,1,0,2,0,17,16.1
59,59,1994-03-13,22-106,LAL,@,MIN,W (+2),1,27:00,3,7,.429,1,1,1.000,3,4,.750,0,1,1,4,2,0,1,0,10,10.0
60,60,1994-03-14,22-107,LAL,@,UTA,L (-1),1,36:00,7,15,.467,5,10,.500,3,4,.750,0,2,2,0,0,0,2,1,22,12.1
61,61,1994-03-16,22-109,LAL,,WSB,W (+35),1,34:00,6,13,.462,3,6,.500,6,6,1.000,2,3,5,11,0,0,2,0,21,22.3
62,62,1994-03-18,22-111,LAL,,NJN,L (-12),1,34:00,4,15,.267,0,6,.000,0,0,,0,3,3,10,0,0,0,2,8,6.2
63,63,1994-03-20,22-113,LAL,,ORL,W (+6),1,44:00,8,19,.421,1,6,.167,2,4,.500,1,9,10,7,1,0,1,4,19,14.8
64,64,1994-03-21,22-114,LAL,,MIA,W (+3),1,37:00,1,11,.091,0,3,.000,0,0,,1,4,5,6,0,0,4,2,2,-4.0
65,65,1994-03-23,22-116,LAL,@,DAL,W (+3),1,37:00,10,14,.714,6,8,.750,2,3,.667,1,1,2,6,0,0,2,1,28,24.6
66,66,1994-03-24,22-117,LAL,@,HOU,L (-6),1,34:00,8,21,.381,1,5,.200,0,0,,2,3,5,6,0,0,1,3,17,9.8
67,67,1994-03-27,22-120,LAL,,MIL,W (+9),1,33:00,2,11,.182,2,6,.333,3,6,.500,0,1,1,8,2,1,2,2,9,6.7
68,68,1994-03-29,22-122,LAL,,MIN,W (+2),1,33:00,5,14,.357,1,3,.333,2,4,.500,2,2,4,8,3,0,3,2,13,11.2
69,69,1994-03-31,22-124,LAL,@,SEA,L (-3),1,33:00,5,9,.556,3,4,.750,0,0,,0,2,2,4,0,0,3,6,13,6.7
70,70,1994-04-01,22-125,LAL,,HOU,W (+13),1,39:00,11,21,.524,5,9,.556,4,4,1.000,0,3,3,4,1,1,2,4,31,22.5
71,71,1994-04-03,22-127,LAL,,ATL,W (+13),1,37:00,6,14,.429,4,7,.571,0,0,,1,3,4,10,3,0,3,1,16,16.8
72,72,1994-04-06,22-130,LAL,,SAC,W (+5),1,34:00,5,14,.357,1,7,.143,0,0,,0,2,2,8,0,0,0,2,11,8.6
73,73,1994-04-08,22-132,LAL,,DEN,L (-13),1,41:00,5,15,.333,0,6,.000,0,0,,1,2,3,10,3,0,4,2,10,8.0
74,74,1994-04-09,22-133,LAL,@,POR,L (-8),1,26:00,2,8,.250,0,1,.000,1,2,.500,1,2,3,4,0,0,2,1,5,1.5
75,75,1994-04-12,22-136,LAL,,GSW,L (-11),1,39:00,7,20,.350,1,6,.167,0,0,,0,0,0,11,1,2,2,5,15,9.9
76,76,1994-04-13,22-137,LAL,@,PHO,L (-29),1,28:00,4,8,.500,1,2,.500,2,2,1.000,0,1,1,8,2,0,1,2,11,13.1
77,77,1994-04-15,22-139,LAL,,POR,L (-5),1,44:00,6,12,.500,2,5,.400,2,2,1.000,1,4,5,10,2,0,3,2,16,17.1
78,78,1994-04-16,22-140,LAL,@,LAC,L (-5),1,36:00,10,23,.435,5,10,.500,3,3,1.000,0,3,3,5,2,1,1,1,28,21.6
79,79,1994-04-20,22-144,LAL,,SEA,L (-22),0,6:00,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,3,1,0,-4.1
80,80,1994-04-23,22-147,LAL,@,GSW,L (-35),1,24:00,1,8,.125,0,3,.000,0,0,,0,3,3,5,0,0,1,2,2,-0.6
81,81,1994-04-24,22-148,LAL,,UTA,L (-6),1,41:00,7,22,.318,3,16,.188,4,5,.800,1,3,4,9,2,0,6,3,21,10.7
1,1,1994-11-04,22-342,LAL,@,DET,W (+17),1,39:00,11,15,.733,6,9,.667,7,7,1.000,0,2,2,4,1,0,3,2,35,29.5
2,2,1994-11-05,22-343,LAL,@,MIL,L (-1),1,42:00,5,13,.385,2,5,.400,3,3,1.000,0,0,0,2,2,0,3,0,15,8.3
3,3,1994-11-08,22-346,LAL,@,NYK,L (-4),1,37:00,7,14,.500,5,8,.625,7,9,.778,0,0,0,7,1,0,5,3,26,17.9
4,4,1994-11-09,22-347,LAL,@,MIN,W (+23),1,29:00,3,9,.333,1,5,.200,2,3,.667,0,2,2,5,5,0,3,3,9,8.4
5,5,1994-11-11,22-349,LAL,,DEN,L (-7),1,35:00,8,15,.533,3,6,.500,2,4,.500,0,3,3,11,1,0,1,1,21,21.1
6,6,1994-11-12,22-350,LAL,@,GSW,L (-22),1,37:00,3,11,.273,2,4,.500,4,4,1.000,0,1,1,10,1,0,2,0,12,11.8
7,7,1994-11-15,22-353,LAL,@,LAC,W (+10),1,32:00,2,9,.222,1,4,.250,1,2,.500,0,2,2,8,0,0,5,1,6,0.9
8,8,1994-11-16,22-354,LAL,,NYK,L (-21),1,25:00,0,5,.000,0,3,.000,1,2,.500,0,1,1,5,1,0,1,1,1,0.5
9,9,1994-11-18,22-356,LAL,,CLE,W (+2),1,42:00,9,16,.563,4,5,.800,0,3,.000,0,4,4,10,3,0,2,1,22,22.0
10,10,1994-11-23,22-361,LAL,,DAL,W (+12),1,32:00,6,10,.600,3,4,.750,0,0,,0,2,2,8,3,0,3,1,15,16.2
11,11,1994-11-25,22-363,LAL,@,ATL,W (+5),1,33:00,5,10,.500,2,6,.333,0,0,,0,1,1,4,2,0,5,0,12,7.1
12,12,1994-11-26,22-364,LAL,@,WSB,W (+16),1,39:00,8,18,.444,4,9,.444,2,3,.667,1,4,5,13,2,0,1,1,22,23.8
13,13,1994-11-29,23-002,LAL,@,NJN,W (+9),1,47:00,7,22,.318,2,7,.286,2,3,.667,1,5,6,13,4,0,5,2,18,14.5
14,14,1994-11-30,23-003,LAL,@,CLE,L (-38),1,33:00,4,12,.333,1,4,.250,4,4,1.000,0,0,0,4,0,0,0,1,13,8.6
15,15,1994-12-02,23-005,LAL,,HOU,W (+18),1,29:00,2,10,.200,1,6,.167,3,4,.750,0,1,1,6,3,0,3,3,8,4.7
16,16,1994-12-06,23-009,LAL,,GSW,W (+12),1,42:00,7,18,.389,4,10,.400,2,5,.400,0,4,4,14,2,0,6,3,20,14.8
17,17,1994-12-09,23-012,LAL,,LAC,L (-25),1,31:00,8,19,.421,1,6,.167,0,1,.000,1,3,4,6,1,1,2,3,17,10.8
18,18,1994-12-13,23-016,LAL,@,DAL,W (+7),1,43:00,12,24,.500,8,16,.500,3,3,1.000,0,4,4,10,3,0,1,1,35,32.8
19,19,1994-12-15,23-018,LAL,@,HOU,W (+3),1,35:00,3,12,.250,1,6,.167,3,4,.750,1,4,5,7,2,0,3,0,10,8.2
20,20,1994-12-17,23-020,LAL,@,SAS,L (-14),1,37:00,5,15,.333,2,7,.286,7,8,.875,1,5,6,6,0,1,2,1,19,14.8
21,21,1994-12-20,23-023,LAL,,MIN,W (+13),1,41:00,2,6,.333,0,2,.000,4,4,1.000,2,1,3,13,1,0,4,1,8,12.0
22,22,1994-12-23,23-026,LAL,,SAC,W (+11),1,29:00,5,7,.714,2,3,.667,3,4,.750,0,1,1,6,2,0,2,3,15,15.0
23,23,1994-12-27,23-030,LAL,@,GSW,L (-24),1,27:00,5,10,.500,1,3,.333,1,2,.500,1,5,6,11,1,0,1,1,12,16.1
24,24,1994-12-29,23-032,LAL,,SEA,W (+1),1,37:00,7,16,.438,1,4,.250,2,2,1.000,1,0,1,7,0,0,1,5,17,11.2
25,25,1994-12-30,23-033,LAL,@,PHO,W (+15),1,46:00,8,18,.444,5,10,.500,0,0,,1,4,5,16,1,0,2,1,21,23.3
26,26,1995-01-03,23-037,LAL,,DET,W (+9),1,48:00,5,14,.357,4,9,.444,7,8,.875,0,3,3,9,3,0,5,2,21,17.2
27,27,1995-01-06,23-040,LAL,,MIL,W (+8),1,41:00,9,18,.500,2,6,.333,3,6,.500,0,4,4,5,0,0,6,2,23,10.7
28,28,1995-01-08,23-042,LAL,,MIA,W (+17),1,34:00,4,11,.364,2,6,.333,7,7,1.000,0,4,4,10,0,0,1,1,17,17.7
29,29,1995-01-09,23-043,LAL,@,POR,L (-46),1,13:00,1,2,.500,0,1,.000,0,0,,1,0,1,3,0,0,0,1,2,3.4
30,30,1995-01-11,23-045,LAL,,PHO,L (-10),1,43:00,11,18,.611,7,11,.636,6,8,.750,0,3,3,7,1,0,3,1,35,29.4
31,31,1995-01-13,23-047,LAL,,GSW,W (+11),1,39:00,10,17,.588,3,8,.375,1,2,.500,0,2,2,14,4,0,3,4,24,25.5
32,32,1995-01-16,23-050,LAL,,LAC,W (+8),1,44:00,7,19,.368,5,11,.455,5,5,1.000,0,1,1,6,0,0,4,3,24,12.8
33,33,1995-01-18,23-052,LAL,@,IND,L (-1),1,42:00,10,21,.476,5,10,.500,5,6,.833,0,4,4,10,2,0,2,4,30,25.5
34,34,1995-01-20,23-054,LAL,@,BOS,W (+2),1,43:00,11,23,.478,3,10,.300,4,5,.800,0,6,6,10,1,0,6,1,29,20.3
35,35,1995-01-21,23-055,LAL,@,PHI,L (-4),1,43:00,6,17,.353,2,8,.250,4,6,.667,0,3,3,9,0,0,5,2,18,9.1
36,36,1995-01-23,23-057,LAL,@,CHH,W (+6),1,40:00,8,18,.444,4,10,.400,6,7,.857,0,2,2,9,2,0,2,3,26,21.9
37,37,1995-01-25,23-059,LAL,,NJN,W (+4),1,46:00,6,16,.375,4,8,.500,0,0,,0,2,2,15,1,0,6,1,16,12.9
38,38,1995-01-28,23-062,LAL,@,SEA,W (+7),1,34:00,7,14,.500,4,8,.500,1,1,1.000,0,2,2,2,1,0,3,1,19,11.6
39,39,1995-01-31,23-065,LAL,,CHI,L (-4),1,41:00,9,17,.529,2,8,.250,7,10,.700,0,2,2,16,1,0,1,3,27,28.1
40,40,1995-02-01,23-066,LAL,@,PHO,L (-9),1,40:00,8,18,.444,2,8,.250,3,5,.600,0,3,3,10,1,0,0,5,21,17.7
41,41,1995-02-03,23-068,LAL,,DEN,L (-14),1,33:00,5,17,.294,1,6,.167,2,2,1.000,0,2,2,6,1,0,3,2,13,5.1
42,42,1995-02-04,23-069,LAL,@,LAC,W (+3),1,36:00,8,19,.421,4,10,.400,0,0,,0,2,2,7,0,0,2,1,20,13.0
43,43,1995-02-07,23-072,LAL,@,DEN,W (+2),1,36:00,5,13,.385,2,5,.400,4,5,.800,0,1,1,4,1,0,3,3,16,8.4
44,44,1995-02-08,23-073,LAL,,SAS,W (+16),1,35:00,4,11,.364,1,4,.250,0,1,.000,0,3,3,10,0,0,2,4,9,6.8
45,45,1995-02-15,23-080,LAL,,SEA,W (+6),1,36:00,5,10,.500,3,7,.429,6,7,.857,0,2,2,9,3,0,2,3,19,20.3
46,46,1995-02-16,23-081,LAL,@,SAC,L (-16),1,41:00,4,12,.333,0,6,.000,2,2,1.000,0,2,2,4,2,1,3,1,10,5.9
47,47,1995-02-19,23-084,LAL,,POR,W (+10),1,42:00,5,12,.417,1,5,.200,5,5,1.000,1,5,6,13,3,0,5,1,16,18.5
48,48,1995-02-20,23-085,LAL,@,SEA,W (+3),1,46:00,12,19,.632,7,9,.778,9,10,.900,0,7,7,4,3,1,3,1,40,36.3
49,49,1995-02-22,23-087,LAL,,PHI,W (+12),1,39:00,8,16,.500,2,5,.400,2,2,1.000,0,2,2,7,2,0,1,1,20,18.1
50,50,1995-02-24,23-089,LAL,,CHH,W (+2),1,49:00,5,14,.357,0,1,.000,0,3,.000,0,3,3,6,2,0,5,4,10,1.5
51,51,1995-02-25,23-090,LAL,@,LAC,L (-2),1,40:00,8,22,.364,0,7,.000,0,1,.000,1,1,2,6,1,0,4,1,16,5.2
52,52,1995-02-27,23-092,LAL,,UTA,L (-6),1,41:00,6,15,.400,2,5,.400,4,4,1.000,0,2,2,7,0,0,3,4,18,10.8
53,53,1995-03-01,23-094,LAL,,PHO,L (-8),1,43:00,8,21,.381,1,7,.143,0,0,,0,2,2,10,2,0,4,3,17,9.9
54,54,1995-03-03,23-096,LAL,,SAC,W (+5),1,56:00,5,15,.333,1,8,.125,5,7,.714,0,3,3,11,1,0,6,2,16,9.5
55,55,1995-03-05,23-098,LAL,,MIN,W (+3),1,39:00,4,11,.364,2,6,.333,1,2,.500,0,4,4,17,1,0,3,2,11,14.8
56,56,1995-03-07,23-100,LAL,@,MIA,L (-6),1,38:00,6,14,.429,1,6,.167,2,4,.500,1,0,1,7,0,0,6,3,15,5.2
57,57,1995-03-08,23-101,LAL,@,ORL,L (-4),1,29:00,4,12,.333,1,6,.167,2,2,1.000,0,3,3,10,0,0,0,1,11,11.7
58,58,1995-03-10,23-103,LAL,@,MIN,L (-6),1,22:00,0,3,.000,0,1,.000,0,0,,0,0,0,4,0,0,1,0,0,-0.3
59,59,1995-03-13,23-106,LAL,,IND,W (+2),1,35:00,2,8,.250,2,7,.286,0,2,.000,0,3,3,5,0,0,4,3,6,-0.4
60,60,1995-03-15,23-108,LAL,@,GSW,L (-11),1,39:00,2,12,.167,1,8,.125,0,0,,0,2,2,12,0,0,0,2,5,5.6
61,61,1995-03-17,23-110,LAL,,BOS,L (-26),1,32:00,2,10,.200,0,2,.000,2,2,1.000,1,1,2,7,1,0,1,1,6,5.3
62,62,1995-03-19,23-112,LAL,,SAC,W (+5),1,41:00,9,18,.500,5,12,.417,12,13,.923,2,5,7,8,0,0,2,4,35,30.5
63,63,1995-03-22,23-115,LAL,,POR,W (+7),1,33:00,7,11,.636,2,4,.500,2,4,.500,0,1,1,10,0,1,0,3,18,19.1
64,64,1995-03-24,23-117,LAL,,WSB,W (+10),1,36:00,7,13,.538,4,7,.571,2,2,1.000,1,5,6,12,0,0,5,2,20,18.5
65,65,1995-03-26,23-119,LAL,,HOU,W (+11),1,33:00,4,13,.308,2,9,.222,6,7,.857,0,0,0,9,2,0,3,2,16,12.6
66,66,1995-03-28,23-121,LAL,@,HOU,W (+10),1,30:00,4,11,.364,2,6,.333,2,2,1.000,2,2,4,9,0,0,2,0,12,12.2
67,67,1995-03-29,23-122,LAL,@,SAS,L (-23),1,33:00,3,10,.300,0,3,.000,2,3,.667,0,2,2,7,1,1,5,1,8,3.6
68,68,1995-03-31,23-124,LAL,,ATL,W (+14),1,34:00,8,12,.667,3,6,.500,1,2,.500,0,3,3,8,0,0,2,3,20,17.7
69,69,1995-04-02,23-126,LAL,,ORL,W (+7),1,35:00,6,12,.500,2,5,.400,2,2,1.000,2,5,7,9,2,0,2,1,16,18.8
70,70,1995-04-04,23-128,LAL,@,DEN,W (+3),1,40:00,8,16,.500,0,4,.000,3,4,.750,0,5,5,4,0,0,2,3,19,11.7
71,71,1995-04-05,23-129,LAL,@,DAL,L (-19),1,32:00,7,15,.467,4,8,.500,6,6,1.000,0,0,0,4,2,0,2,3,24,17.9
72,72,1995-04-07,23-131,LAL,,UTA,W (+23),1,32:00,9,17,.529,2,5,.400,3,3,1.000,2,3,5,8,2,0,4,3,23,19.4
73,73,1995-04-09,23-133,LAL,,SAS,L (-14),1,35:00,4,14,.286,1,5,.200,2,2,1.000,0,3,3,5,1,0,2,3,11,5.0
74,74,1995-04-11,23-135,LAL,@,UTA,L (-7),1,24:00,2,8,.250,2,7,.286,2,2,1.000,1,0,1,4,1,0,8,2,8,-1.1
75,75,1995-04-12,23-136,LAL,@,SAC,L (-10),1,37:00,4,14,.286,3,8,.375,4,4,1.000,1,2,3,9,1,0,0,1,15,15.0
76,76,1995-04-15,23-139,LAL,@,PHO,L (-5),1,40:00,7,16,.438,3,10,.300,1,3,.333,0,2,2,15,1,0,3,3,18,16.7
77,77,1995-04-16,23-140,LAL,,DAL,W (+14),1,35:00,3,9,.333,1,4,.250,1,2,.500,0,3,3,14,1,0,2,2,8,11.4
78,78,1995-04-18,23-142,LAL,,SEA,L (-16),1,32:00,2,8,.250,1,2,.500,6,6,1.000,1,1,2,4,0,0,0,2,11,9.2
79,79,1995-04-20,23-144,LAL,@,POR,L (-14),1,29:00,3,14,.214,1,5,.200,5,6,.833,0,1,1,7,0,0,1,1,12,6.8
80,80,1995-04-22,23-146,LAL,,POR,L (-5),1,36:00,6,13,.462,2,6,.333,5,6,.833,0,3,3,7,1,0,1,2,19,16.9
1,1,1995-11-03,23-341,LAL,,DEN,W (+2),1,38:00,8,15,.533,4,8,.500,4,4,1.000,0,3,3,7,1,0,8,1,24,15.1
2,2,1995-11-04,23-342,LAL,@,SEA,L (-14),1,32:00,0,6,.000,0,2,.000,6,10,.600,0,0,0,2,0,0,2,2,6,-1.2
3,3,1995-11-07,23-345,LAL,@,MIN,L (-1),1,43:00,6,16,.375,0,4,.000,5,6,.833,0,2,2,10,0,1,2,3,17,12.9
4,4,1995-11-08,23-346,LAL,@,UTA,L (-10),1,36:00,7,18,.389,4,9,.444,2,2,1.000,1,1,2,7,0,0,5,3,20,9.9
5,5,1995-11-10,23-348,LAL,,SEA,W (+3),1,24:00,1,6,.167,0,3,.000,3,3,1.000,0,2,2,3,0,0,4,1,5,-0.5
6,6,1995-11-11,23-349,LAL,@,GSW,L (-18),1,34:00,3,13,.231,0,5,.000,0,0,,1,1,2,6,1,0,0,2,6,3.5
7,7,1995-11-14,23-352,LAL,@,SAC,W (+6),1,40:00,3,11,.273,2,7,.286,0,0,,0,2,2,5,3,1,1,1,8,7.9
8,8,1995-11-15,23-353,LAL,,DAL,W (+17),1,36:00,2,9,.222,2,5,.400,0,0,,0,2,2,12,0,1,2,2,6,7.4
9,9,1995-11-17,23-355,LAL,@,VAN,W (+23),1,33:00,10,16,.625,3,9,.333,2,2,1.000,0,1,1,5,1,0,3,1,25,19.2
10,10,1995-11-19,23-357,LAL,,LAC,W (+21),1,35:00,8,17,.471,3,6,.500,1,2,.500,1,3,4,9,2,0,3,2,20,17.0
11,11,1995-11-21,23-359,LAL,,POR,L (-1),1,42:00,7,16,.438,1,5,.200,4,4,1.000,0,1,1,15,3,0,8,3,19,15.2
12,12,1995-11-24,23-362,LAL,,SAC,L (-1),1,35:00,5,16,.313,1,7,.143,0,0,,0,1,1,8,1,0,0,1,11,8.3
13,13,1995-11-25,23-363,LAL,@,PHO,L (-1),1,34:00,4,16,.250,2,8,.250,1,1,1.000,0,2,2,7,4,0,3,3,11,6.7
14,14,1995-11-29,24-002,LAL,,PHO,W (+11),1,30:00,2,8,.250,0,2,.000,0,0,,0,3,3,6,1,0,2,1,4,2.9
15,15,1995-12-01,24-004,LAL,,VAN,W (+13),1,34:00,6,14,.429,0,1,.000,2,2,1.000,1,4,5,16,1,0,5,0,14,15.7
16,16,1995-12-03,24-006,LAL,,IND,W (+8),1,40:00,6,15,.400,3,5,.600,11,11,1.000,1,1,2,5,1,0,2,0,26,21.4
